listing_id,host_id,occupancy,price,number_of_reviews,rating,accommodates,minimum_nights,bedrooms,bathrooms,beds,host_is_superhost,pro_host,entire_home,instant_bookable
834,366,4,61,110,4.9,4,3,1,1,1,1,1,1,1
835,400,58,282,43,4.95,7,2,3,3,4,0,1,1,0
836,718,90,45,173,4.95,2,2,1,1,1,1,0,0,0
837,96,3,52,99,4.55,2,1,1,1,1,0,1,0,1
838,1067,0,86,39,4.5,4,1,1,1,2,0,1,0,0
839,705,37,85,45,5,4,3,2,1,2,1,0,1,0
840,246,23,99,15,4.85,3,30,1,1,2,0,1,1,0
841,1081,73,159,30,4.9,6,3,2,2,3,1,0,1,0
842,632,29,150,34,4.9,6,15,2,2,4,0,0,1,0
843,218,61,89,7,4.85,2,3,1,1,2,0,1,1,0
844,778,37,499,80,4.9,9,3,3,3,9,1,1,1,0
845,525,54,101,250,4.75,2,1,1,1,1,1,1,1,0
846,958,2,750,17,4.7,10,2,5,4.5,6,1,0,1,0
847,947,1,99,31,4.75,4,3,2,1,2,1,1,1,0
848,196,34,65,108,4.95,4,2,2,1,2,1,1,0,0
849,596,85,115,50,4.9,4,2,2,1,3,1,1,1,1
850,134,57,90,90,4.75,4,3,2,1,2,1,0,1,1
851,258,71,80,63,4.7,6,4,1,1,2,1,0,1,1
852,282,42,125,179,4.7,6,1,2,1,3,1,1,1,0
853,582,38,171,78,4.7,4,3,2,1,2,1,1,1,1
854,986,6,75,3,3.35,4,15,2,1,2,0,1,1,0
855,736,90,35,153,4.65,1,1,1,1,1,0,1,0,1
856,727,15,219,3,4.65,6,6,2,2,2,0,1,1,0
857,266,89,175,253,4.85,6,2,2,1,3,1,1,1,0
858,992,42,299,54,5,6,3,3,2,4,1,0,1,1
859,452,1,180,9,5,4,7,1,1,2,0,0,1,0
860,631,89,79,134,4.95,2,2,1,1,1,1,0,1,0
861,203,0,99,8,4.5,4,7,1,1.5,2,0,0,1,0
862,311,9,172,7,4.85,4,7,1,1,1,1,1,1,0
863,1005,11,162,3,5,4,7,1,1,1,1,1,1,0
864,302,10,557,2,5,6,7,3,2,5,0,0,1,0
865,38,35,621,18,4.95,12,3,5,4,7,0,0,1,1
866,522,6,38,129,4.5,6,1,1,1,3,0,1,0,0
867,968,35,33,33,4.85,1,3,1,1,1,1,0,0,0
868,126,67,48,14,4.35,2,5,1,1,1,0,0,0,0
869,434,1,55,21,4.8,1,3,1,1,1,0,0,0,0
870,41,0,99,1,0,2,2,1,1,1,0,0,0,0
871,113,20,275,12,4,5,2,2,1,3,0,0,1,0
872,621,9,39,95,4.3,6,1,1,1,4,0,1,0,1
873,147,90,58,35,4.75,4,3,1,1,2,1,1,1,0
874,455,0,159,3,4.65,6,7,2,2,3,0,1,1,0
875,455,27,1000,43,4.7,10,3,5,5,6,0,1,1,0
876,443,67,77,20,4.95,2,1,1,1,1,0,0,0,0
877,249,6,55,235,4.7,4,1,1,1,1,0,0,0,0
878,447,65,325,8,5,9,5,3,2,6,0,0,1,1
879,80,40,125,180,4.7,6,1,2,1,3,1,1,1,0
880,819,71,224,65,5,6,7,2,2,4,0,1,1,0
881,709,3,91,71,4.85,4,3,2,1,2,0,1,1,0
882,954,67,239,70,4.9,6,1,3,3,3,0,0,1,0
883,1016,64,87,20,4.6,4,1,1,1,2,0,1,1,1
884,1121,5,37,101,4.35,5,1,1,1,3,0,1,0,1
885,776,0,60,48,4.8,1,1,1,1,1,0,1,0,0
886,447,0,45,57,4.7,2,2,1,1,1,0,1,0,1
887,629,59,203,40,4.95,6,5,3,3.5,4,1,0,1,0
888,841,0,90,33,4.9,4,30,2,1,3,0,1,1,0
889,821,2,46,5,5,1,3,1,1,1,0,0,0,0
890,131,24,49,164,4.65,2,1,1,1,1,0,1,1,0
891,584,0,95,36,4.15,4,1,1,1.5,0,0,1,1,0
892,1154,22,50,345,4.85,2,2,1,1,2,0,0,1,0
893,698,22,26,52,4.8,4,1,1,1,2,0,1,0,0
894,870,12,25,53,4.65,5,1,1,1,2,0,1,0,0
895,664,32,26,54,4.7,4,1,1,1,2,0,1,0,0
